BODIES
id, mass, x, y, Vx, Vy, moves
0, 1.989000e+30, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1
1, 5.972000e+24, 1.500000e+11, 0.000000e+00, 0.000000e+00, 2.985000e+04, 1
STEPSIZE: 8.640000e+04 sec
MOTION
timestep, id, x, y, Vx, Vy
58, 1, 7.960005e+10, 1.281919e+11, -2.521172e+04, 1.613449e+04
59, 0, 2.179516e+05, 7.558825e+04, 7.649639e-02, 4.246594e-02
59, 1, 7.741028e+10, 1.295674e+11, -2.547745e+04, 1.570654e+04
60, 0, 2.245944e+05, 7.931337e+04, 7.727176e-02, 4.376373e-02
60, 1, 7.519787e+10, 1.309058e+11, -2.573569e+04, 1.527430e+04
61, 0, 2.313032e+05, 8.315116e+04, 7.802442e-02, 4.507397e-02
61, 1, 7.296348e+10, 1.322066e+11, -2.598637e+04, 1.483792e+04
62, 0, 2.380760e+05, 8.710267e+04, 7.875418e-02, 4.639626e-02
62, 1, 7.070776e+10, 1.334696e+11, -2.622941e+04, 1.439753e+04
63, 0, 2.449109e+05, 9.116894e+04, 7.946084e-02, 4.773018e-02
63, 1, 6.843137e+10, 1.346944e+11, -2.646477e+04, 1.395326e+04
64, 0, 2.518059e+05, 9.535093e+04, 8.014422e-02, 4.907530e-02
64, 1, 6.613498e+10, 1.358806e+11, -2.669238e+04, 1.350526e+04
65, 0, 2.587588e+05, 9.964961e+04, 8.080416e-02, 5.043121e-02
65, 1, 6.381926e+10, 1.370279e+11, -2.691217e+04, 1.305367e+04
66, 0, 2.657678e+05, 1.040659e+05, 8.144048e-02, 5.179747e-02
66, 1, 6.148490e+10, 1.381361e+11, -2.712410e+04, 1.259863e+04
67, 0, 2.728307e+05, 1.086006e+05, 8.205302e-02, 5.317365e-02
67, 1, 5.913256e+10, 1.392048e+11, -2.732811e+04, 1.214029e+04
68, 0, 2.799455e+05, 1.132547e+05, 8.264164e-02, 5.455933e-02
68, 1, 5.676294e+10, 1.402338e+11, -2.752415e+04, 1.167878e+04
69, 0, 2.871102e+05, 1.180289e+05, 8.320619e-02, 5.595408e-02
69, 1, 5.437674e+10, 1.412228e+11, -2.771218e+04, 1.121425e+04
70, 0, 2.943225e+05, 1.229239e+05, 8.374655e-02, 5.735745e-02
70, 1, 5.197463e+10, 1.421715e+11, -2.789215e+04, 1.074686e+04
71, 0, 3.015805e+05, 1.279406e+05, 8.426258e-02, 5.876901e-02
71, 1, 4.955732e+10, 1.430797e+11, -2.806401e+04, 1.027673e+04
72, 0, 3.088820e+05, 1.330796e+05, 8.475417e-02, 6.018832e-02
72, 1, 4.712552e+10, 1.439472e+11, -2.822774e+04, 9.804023e+03
73, 0, 3.162250e+05, 1.383415e+05, 8.522122e-02, 6.161494e-02
73, 1, 4.467992e+10, 1.447737e+11, -2.838329e+04, 9.328881e+03
74, 0, 3.236072e+05, 1.437269e+05, 8.566362e-02, 6.304843e-02
74, 1, 4.222124e+10, 1.455591e+11, -2.853063e+04, 8.851452e+03
75, 0, 3.310266e+05, 1.492365e+05, 8.608128e-02, 6.448834e-02
75, 1, 3.975018e+10, 1.463032e+11, -2.866974e+04, 8.371883e+03
76, 0, 3.384810e+05, 1.548708e+05, 8.647412e-02, 6.593423e-02
76, 1, 3.726747e+10, 1.470057e+11, -2.880057e+04, 7.890322e+03
77, 0, 3.459682e+05, 1.606302e+05, 8.684207e-02, 6.738566e-02
77, 1, 3.477380e+10, 1.476665e+11, -2.892312e+04, 7.406917e+03
78, 0, 3.534862e+05, 1.665152e+05, 8.718506e-02, 6.884218e-02
78, 1, 3.226991e+10, 1.482856e+11, -2.903736e+04, 6.921816e+03
79, 0, 3.610327e+05, 1.725263e+05, 8.750304e-02, 7.030335e-02
79, 1, 2.975651e+10, 1.488626e+11, -2.914326e+04, 6.435168e+03
80, 0, 3.686057e+05, 1.786638e+05, 8.779595e-02, 7.176872e-02
80, 1, 2.723432e+10, 1.493975e+11, -2.924082e+04, 5.947121e+03
81, 0, 3.762028e+05, 1.849281e+05, 8.806376e-02, 7.323784e-02
81, 1, 2.470406e+10, 1.498902e+11, -2.933001e+04, 5.457823e+03
82, 0, 3.838220e+05, 1.913195e+05, 8.830643e-02, 7.471027e-02
82, 1, 2.216645e+10, 1.503406e+11, -2.941083e+04, 4.967424e+03
83, 0, 3.914611e+05, 1.978382e+05, 8.852395e-02, 7.618557e-02
83, 1, 1.962223e+10, 1.507485e+11, -2.948328e+04, 4.476071e+03
84, 0, 3.991178e+05, 2.044844e+05, 8.871629e-02, 7.766328e-02
84, 1, 1.707210e+10, 1.511140e+11, -2.954734e+04, 3.983912e+03
85, 0, 4.067901e+05, 2.112585e+05, 8.888346e-02, 7.914296e-02
85, 1, 1.451681e+10, 1.514369e+11, -2.960301e+04, 3.491097e+03
